"term" "estimate" "std.error" "conf.low" "conf.high" "model"
"1" "(Intercept)" 6.6733935628949 0.491958613327967 5.70917239888782 7.63761472690198 "remove_3_biomass"
"2" "kde_fric" -0.0641177145719055 0.0204612956538175 -0.104221117130414 -0.0240143120133973 "remove_3_biomass"
"3" "kde_feve" 0.114646368112623 0.021667171214701 0.0721794928849464 0.1571132433403 "remove_3_biomass"
"4" "tric" 0.268475520527749 0.0221191728905647 0.225122738294427 0.311828302761071 "remove_3_biomass"
"5" "teve" -0.393615436078252 0.0202576621370444 -0.43331972427784 -0.353911147878665 "remove_3_biomass"
"6" "sbt_mean" 0.174440196805344 0.0543390070034069 0.067937700122997 0.280942693487692 "remove_3_biomass"
"7" "sbt_sd" 0.0034663717195801 0.031961480221638 -0.0591769784074197 0.0661097218465799 "remove_3_biomass"
"8" "sst_sd" 0.0360405676962101 0.0312030700144044 -0.0251163257391042 0.0971974611315244 "remove_3_biomass"
"9" "sic_mean" -0.0632524736811546 0.0550769025975069 -0.171201219152289 0.0446962717899795 "remove_3_biomass"
"10" "log_chla_mean" -0.0660575936843993 0.0256180819233625 -0.116268111607187 -0.0158470757616122 "remove_3_biomass"
"11" "depth" 0.0584933079873982 0.0267029024951855 0.00615658081414978 0.110830035160647 "remove_3_biomass"
