"term" "estimate" "std.error" "conf.low" "conf.high" "model"
"1" "(Intercept)" 6.54962476033713 1.01558357918091 4.55911752185226 8.54013199882199 "remove_4_biomass"
"2" "kde_fric" -0.00659823971916588 0.0207050468260879 -0.0471793857965135 0.0339829063581817 "remove_4_biomass"
"3" "kde_feve" 0.0798672525666717 0.0218985495173283 0.0369468841990412 0.122787620934302 "remove_4_biomass"
"4" "tric" 0.341170722462113 0.0223234123605631 0.297417638223373 0.384923806700853 "remove_4_biomass"
"5" "teve" -0.283972642953239 0.0204121256827837 -0.3239796741394 -0.243965611767077 "remove_4_biomass"
"6" "sbt_mean" 0.129123996475056 0.0563547469026529 0.0186707221879861 0.239577270762126 "remove_4_biomass"
"7" "sbt_sd" 0.0568994448734208 0.0323836265488744 -0.00657129685116824 0.12037018659801 "remove_4_biomass"
"8" "sst_sd" 0.045282670228234 0.0312701404529211 -0.0160056788510003 0.106571019307468 "remove_4_biomass"
"9" "sic_mean" -0.0747832338844538 0.0557948277684044 -0.184139086834142 0.0345726190652341 "remove_4_biomass"
"10" "log_chla_mean" -0.0662138041686129 0.0257589165640114 -0.116700352914847 -0.0157272554223784 "remove_4_biomass"
"11" "depth" 0.0209209657190622 0.0272360408508403 -0.0324606934300464 0.0743026248681708 "remove_4_biomass"
