"term" "estimate" "std.error" "conf.low" "conf.high" "model"
"1" "(Intercept)" 6.64669390924121 0.228414374660417 6.19900996135555 7.09437785712686 "remove_1_biomass"
"2" "Fric" -0.0026802573552839 0.0197523029341158 -0.0413940597178757 0.0360335450073079 "remove_1_biomass"
"3" "Feve" 0.0438901913313971 0.0199570703453108 0.00477505221765558 0.0830053304451386 "remove_1_biomass"
"4" "Tric" 0.179466496100127 0.017841979578356 0.144496858713651 0.214436133486604 "remove_1_biomass"
"5" "Teve" -0.486075961893893 0.0219544565284525 -0.52910590598981 -0.443046017797976 "remove_1_biomass"
"6" "sbt_mean" 0.303131840473985 0.0540385733425974 0.197218182946568 0.409045498001402 "remove_1_biomass"
"7" "sbt_sd" 0.114372261853143 0.0324967850112922 0.0506797336176694 0.178064790088617 "remove_1_biomass"
"8" "sst_sd" 0.0587099435555489 0.0282777279569726 0.00328661519526113 0.114133271915837 "remove_1_biomass"
"9" "sic_mean" -0.0277595954520331 0.0539603611739961 -0.133519959945839 0.0780007690417728 "remove_1_biomass"
"10" "log_chla_mean" -0.0122757579971207 0.0221731336398516 -0.0557343013556234 0.031182785361382 "remove_1_biomass"
"11" "depth" 0.100749578196764 0.0264441223020348 0.0489200508820031 0.152579105511524 "remove_1_biomass"
