"term" "estimate" "std.error" "conf.low" "conf.high" "model"
"1" "(Intercept)" 5.08384540105364 0.182480949047042 4.72618931305675 5.44150148905054 "remove_10_biomass"
"2" "Fric" 0.423360932720312 0.0365640261723079 0.351696758292809 0.495025107147816 "remove_10_biomass"
"3" "Feve" 0.151438627987749 0.0365559327103643 0.0797903164541653 0.223086939521333 "remove_10_biomass"
"4" "Tric" 0.844416313593898 0.0319953692315503 0.781706542227999 0.907126084959798 "remove_10_biomass"
"5" "Teve" -0.374714902547571 0.0404559226044924 -0.454007053813716 -0.295422751281426 "remove_10_biomass"
"6" "sbt_mean" 0.369255196046831 0.081364790430722 0.209783137192967 0.528727254900695 "remove_10_biomass"
"7" "sbt_sd" -0.0515051403586398 0.0540842558175004 -0.157508333891591 0.0544980531743118 "remove_10_biomass"
"8" "sst_sd" 0.0711590642343435 0.0425793316356725 -0.0122948922573616 0.154613020726049 "remove_10_biomass"
"9" "sic_mean" -0.0990370747356211 0.0783140449852458 -0.252529782390352 0.0544556329191103 "remove_10_biomass"
"10" "log_chla_mean" -0.0279452143687409 0.0377200598458669 -0.101875173161335 0.0459847444238536 "remove_10_biomass"
"11" "depth" -0.0556202555153432 0.0463560629128799 -0.146476469289661 0.0352359582589743 "remove_10_biomass"
