"term" "estimate" "std.error" "conf.low" "conf.high" "model"
"1" "(Intercept)" 5.62567181037958 0.152551883105474 5.32667561371909 5.92466800704008 "remove_7_biomass"
"2" "Fric" 0.289506888797125 0.0306692437555452 0.229396275603177 0.349617501991074 "remove_7_biomass"
"3" "Feve" -0.0391993406157127 0.0307201930382148 -0.0994098125687319 0.0210111313373065 "remove_7_biomass"
"4" "Tric" 0.579617595014315 0.0270572822941734 0.526586296198202 0.632648893830428 "remove_7_biomass"
"5" "Teve" -0.333991979863217 0.0338785753663492 -0.400392767428788 -0.267591192297647 "remove_7_biomass"
"6" "sbt_mean" 0.29116751478665 0.0700695453807581 0.153833729427269 0.428501300146031 "remove_7_biomass"
"7" "sbt_sd" 0.0619885534188767 0.0474557924552063 -0.0310230906511353 0.155000197488889 "remove_7_biomass"
"8" "sst_sd" -0.00762501559914289 0.0352578855776827 -0.0767292015024352 0.0614791703041494 "remove_7_biomass"
"9" "sic_mean" 0.0785318876875724 0.0642354080299473 -0.0473671985833592 0.204430973958504 "remove_7_biomass"
"10" "log_chla_mean" -0.0023075824130059 0.0316497183093064 -0.0643398904200843 0.0597247255940726 "remove_7_biomass"
"11" "depth" 0.27394228276646 0.040474044078838 0.194614614063251 0.353269951469669 "remove_7_biomass"
