"term" "estimate" "std.error" "conf.low" "conf.high" "model"
"1" "(Intercept)" 5.83797065603377 0.162229696447099 5.52000629377459 6.15593501829295 "remove_5_biomass"
"2" "Fric" 0.263568621703968 0.029450300214596 0.205847093949467 0.321290149458468 "remove_5_biomass"
"3" "Feve" -0.249581975285213 0.0295025108701656 -0.307405834044239 -0.191758116526187 "remove_5_biomass"
"4" "Tric" 0.504655230715327 0.0260551575163094 0.453588060371843 0.555722401058812 "remove_5_biomass"
"5" "Teve" -0.323822206796344 0.0325091167024703 -0.387538904702396 -0.260105508890293 "remove_5_biomass"
"6" "sbt_mean" 0.27490963710715 0.0694430111478919 0.138803836279269 0.411015437935032 "remove_5_biomass"
"7" "sbt_sd" 0.0134136109754169 0.0461201496993766 -0.076980221396957 0.103807443347791 "remove_5_biomass"
"8" "sst_sd" 0.00157213967562897 0.0340758443540114 -0.0652152880010259 0.0683595673522838 "remove_5_biomass"
"9" "sic_mean" 0.0565296987145955 0.0625834748661956 -0.0661316580505154 0.179191055479706 "remove_5_biomass"
"10" "log_chla_mean" -0.0207137629653811 0.030435484970341 -0.0803662173592596 0.0389386914284974 "remove_5_biomass"
"11" "depth" 0.101343127081369 0.0394543385439443 0.0240140445013876 0.17867220966135 "remove_5_biomass"
