"term" "estimate" "std.error" "conf.low" "conf.high" "model"
"1" "(Intercept)" 5.26571957650928 0.152438978912777 4.96694466800017 5.56449448501838 "remove_9_biomass"
"2" "Fric" 0.3380964735377 0.0318646764520371 0.275642855312686 0.400550091762715 "remove_9_biomass"
"3" "Feve" 0.0981435704574494 0.0319076753446574 0.0356056759515243 0.160681464963375 "remove_9_biomass"
"4" "Tric" 0.66076608722421 0.0280073971526611 0.605872597504284 0.715659576944135 "remove_9_biomass"
"5" "Teve" -0.288253518491987 0.0351979693011975 -0.357240270651281 -0.219266766332693 "remove_9_biomass"
"6" "sbt_mean" 0.334414749585701 0.0725154182723929 0.192287141447953 0.476542357723449 "remove_9_biomass"
"7" "sbt_sd" 0.084514020245446 0.0494183941533301 -0.0123442524688857 0.181372292959778 "remove_9_biomass"
"8" "sst_sd" 0.0358587596279815 0.0363736841216485 -0.035432351235486 0.107149870491449 "remove_9_biomass"
"9" "sic_mean" -0.0915527017639134 0.0662383062846356 -0.221377396478732 0.0382719929509055 "remove_9_biomass"
"10" "log_chla_mean" -0.0100945593860832 0.0327680826744088 -0.0743188212703554 0.054129702498189 "remove_9_biomass"
"11" "depth" 0.402619761338357 0.0419507751192671 0.320397752981055 0.48484176969566 "remove_9_biomass"
