"term" "estimate" "std.error" "conf.low" "conf.high" "model"
"1" "(Intercept)" 6.40274911366742 0.372830603955 5.67201455758131 7.13348366975354 "remove_3_biomass"
"2" "Fric" 0.127727593891027 0.0228048316535513 0.0830309451765671 0.172424242605486 "remove_3_biomass"
"3" "Feve" -0.0127341393399144 0.0231580511573037 -0.0581230855603658 0.0326548068805371 "remove_3_biomass"
"4" "Tric" 0.340195267829541 0.0205101202156023 0.299996170888373 0.380394364770708 "remove_3_biomass"
"5" "Teve" -0.456168216666583 0.0253499337425407 -0.505853173812439 -0.406483259520726 "remove_3_biomass"
"6" "sbt_mean" 0.292697487982706 0.0627531372136513 0.16970359912705 0.415691376838363 "remove_3_biomass"
"7" "sbt_sd" -0.0929395883865224 0.0371882260136456 -0.165827172022203 -0.0200520047508415 "remove_3_biomass"
"8" "sst_sd" 0.0420485130512821 0.0294875266673613 -0.0157459772099104 0.0998430033124746 "remove_3_biomass"
"9" "sic_mean" -0.0215974157467394 0.0571432088152431 -0.133596046985668 0.0904012154921888 "remove_3_biomass"
"10" "log_chla_mean" -0.0312065038271232 0.0242724146488998 -0.0787795623567891 0.0163665547025428 "remove_3_biomass"
"11" "depth" 0.157487261266399 0.0315397196415553 0.0956705466864604 0.219303975846338 "remove_3_biomass"
