"term","estimate","std.error","conf.low","conf.high","model","support"
"log fish. eff.",-0.0415514709094833,0.0237150998286185,-0.0880322124633475,0.0049292706443809,"Feve     (fishing)","Not supported"
"SBT mean",0.00542823736932277,0.0552215318640731,-0.102803976255392,0.113660450994037,"Feve     (fishing)","Not supported"
"SBT SD",-0.0380652428404014,0.0359454764504414,-0.108517082090399,0.0323865964095963,"Feve     (fishing)","Not supported"
"SST SD",0.073129956223847,0.0321511791947736,0.0101148029415972,0.136145109506097,"Feve     (fishing)","Supported"
"SIC mean",-0.033107179050475,0.0544602387920831,-0.139847285672409,0.0736329275714591,"Feve     (fishing)","Not supported"
"log chla mean",-0.0107682001085394,0.0297558254670954,-0.0690885463543061,0.0475521461372274,"Feve     (fishing)","Not supported"
"Depth",0.0297814835991404,0.0341549352869837,-0.0371609594576439,0.0967239266559247,"Feve     (fishing)","Not supported"
"log fish. eff.",-0.0426750489697675,0.0225663510440529,-0.0869042842785991,0.00155418633906411,"Fric     (fishing)","Not supported"
"SBT mean",0.12140587616581,0.063136667744484,-0.00233971871725008,0.245151471048871,"Fric     (fishing)","Not supported"
"SBT SD",0.0162922833744837,0.0346240258626742,-0.051569560316141,0.0841541270651085,"Fric     (fishing)","Not supported"
"SST SD",0.0494229689084616,0.0305712065455137,-0.0104954948846805,0.109341432701604,"Fric     (fishing)","Not supported"
"SIC mean",-0.0430039583490306,0.0511296403178312,-0.143216211914467,0.0572082952164056,"Fric     (fishing)","Not supported"
"log chla mean",-0.00745205604523358,0.0261575803012359,-0.0587199713583704,0.0438158592679032,"Fric     (fishing)","Not supported"
"Depth",-0.111954813849656,0.0347589250384754,-0.180081055066395,-0.0438285726329167,"Fric     (fishing)","Supported"
"log fish. eff.",-0.078906565036929,0.0263710768882902,-0.130592925971514,-0.0272202041023436,"Teve     (fishing)","Supported"
"SBT mean",0.167126209479123,0.0589066815042081,0.0516712352821032,0.282581183676142,"Teve     (fishing)","Supported"
"SBT SD",0.00890423706489016,0.0374920691243611,-0.0645788681247437,0.082387342254524,"Teve     (fishing)","Not supported"
"SST SD",0.0156868223639471,0.0325295775214339,-0.048069978010367,0.0794436227382612,"Teve     (fishing)","Not supported"
