"term","estimate","std.error","conf.low","conf.high","model","support"
"Fric",0.218548880435616,0.0252737779271421,0.169013185945154,0.268084574926078,"2004-2011","Supported"
"Feve",-0.257982669708858,0.025403254993902,-0.307772134586993,-0.208193204830723,"2004-2011","Supported"
"Tric",0.075453053169498,0.024654324261781,0.0271314655532352,0.123774640785761,"2004-2011","Supported"
"Teve",-0.430472264034047,0.0267589244729552,-0.482918792266067,-0.378025735802028,"2004-2011","Supported"
"SBT mean",0.233432945029276,0.0688510200564108,0.0984874254198655,0.368378464638686,"2004-2011","Supported"
"SBT SD",0.1890095187609,0.0462912271242173,0.0982803807972707,0.27973865672453,"2004-2011","Supported"
"SST SD",0.0423933243867129,0.0428877006544425,-0.0416650242757294,0.126451673049155,"2004-2011","Not supported"
"SIC mean",0.10640159664333,0.0827714811954696,-0.0558275254468248,0.268630718733485,"2004-2011","Not supported"
"log chla mean",-0.0439602400937688,0.0327257946455136,-0.108101618964429,0.0201811387768915,"2004-2011","Not supported"
"Depth",0.147862745135887,0.0340089443415829,0.0812064390741572,0.214519051197617,"2004-2011","Supported"
"Fric",0.262046132607356,0.0399007429353614,0.183842113497657,0.340250151717056,"2012-2016","Supported"
"Feve",-0.284496698080388,0.0355336134748466,-0.354141300731655,-0.214852095429122,"2012-2016","Supported"
"Tric",0.0627666142272405,0.0363708796524607,-0.00851899997762308,0.134052228432104,"2012-2016","Not supported"
"Teve",-0.458808923314324,0.0377147500919165,-0.53272847518041,-0.384889371448239,"2012-2016","Supported"
"SBT mean",0.261054597249745,0.0808703999789352,0.102551525875683,0.419557668623807,"2012-2016","Supported"
"SBT SD",0.0702536998352177,0.0504112788829673,-0.0285505911900028,0.169057990860438,"2012-2016","Not supported"
"SST SD",0.0929624540818842,0.0486275577937965,-0.00234580785009696,0.188270716013865,"2012-2016","Not supported"
"SIC mean",-0.128437363121782,0.0762947991774737,-0.277972421717347,0.0210976954737823,"2012-2016","Not supported"
"log chla mean",0.0043765618684161,0.0400226520178694,-0.0740663946523872,0.0828195183892194,"2012-2016","Not supported"
"Depth",0.0582686506418385,0.0474317673262569,-0.0346959050407088,0.151233206324386,"2012-2016","Not supported"
"Fric",0.167501378450253,0.0321669243564055,0.104455365218274,0.230547391682232,"2017-2022","Supported"
"Feve",-0.190568033324959,0.029394090118673,-0.248179391315883,-0.132956675334035,"2017-2022","Supported"
"Tric",-0.0456601934970848,0.0311038456606755,-0.106622610772701,0.0153022237785316,"2017-2022","Not supported"
"Teve",-0.441276198619705,0.0323488082697794,-0.504678697771264,-0.377873699468146,"2017-2022","Supported"
"SBT mean",0.363512637430656,0.0790685913726425,0.208541046031963,0.51848422882935,"2017-2022","Supported"
"SBT SD",-0.0158559073683539,0.0482421155573511,-0.110408716398781,0.0786969016620736,"2017-2022","Not supported"
"SST SD",0.011084090275563,0.045184338819994,-0.0774755864768802,0.0996437670280062,"2017-2022","Not supported"
"log chla mean",0.0842459763614399,0.0419618109964771,0.00200233808226792,0.166489614640612,"2017-2022","Supported"
