"term" "estimate" "std.error" "conf.low" "conf.high"
"1" "(Intercept)" 6.99651875434377 0.18766371893696 6.62870462402249 7.36433288466506
"2" "Fric" 0.0449134010499655 0.0217416593023498 0.00230053185321961 0.0875262702467114
"3" "Feve" -0.13132813787512 0.0228783727865653 -0.176168924561669 -0.0864873511885708
"4" "Tric" 0.0584543879195459 0.0172041532716551 0.0247348671225949 0.0921739087164968
"5" "Teve" -0.376954253187057 0.0225657399365518 -0.421182290747196 -0.332726215626918
"6" "sbt_mean" 0.305078057518851 0.0517884547421185 0.203574551409316 0.406581563628386
"7" "sbt_sd" 0.0847988921932499 0.0314049952172498 0.0232462326327876 0.146351551753712
"8" "sst_sd" 0.054029984050267 0.0290340365946317 -0.00287568200102906 0.110935650101563
"9" "sic_mean" -0.0199035386384441 0.0544095491270506 -0.126544295342526 0.0867372180656378
"10" "log_chla_mean" -0.0125547696061237 0.0222312031930933 -0.0561271271975783 0.031017587985331
"11" "depth" -0.0824422724369215 0.0258696505442782 -0.133145855796344 -0.0317386890774994
