"term" "estimate" "std.error" "conf.low" "conf.high"
"1" "(Intercept)" 6.9946663291229 0.171845801765901 6.65785474676733 7.33147791147848
"2" "convFric" 0.0844917512140832 0.023502532919626 0.0384276331461492 0.130555869282017
"3" "convFeve" -0.13446195298368 0.0145789372401224 -0.163036144907189 -0.10588776106017
"4" "Tric" 0.0157251045321397 0.0243666028772472 -0.0320325595328549 0.0634827685971342
"5" "Teve" -0.401496062838603 0.0152833857606812 -0.43145094849137 -0.371541177185835
"6" "sbt_mean" 0.270522746445093 0.0505638819482867 0.171419358907916 0.36962613398227
"7" "sbt_sd" 0.0784539511137437 0.0309890460381978 0.0177165369636223 0.139191365263865
"8" "sst_sd" 0.0551274216550947 0.0281646815790403 -7.43398758629166e-05 0.110329183186052
"9" "sic_mean" -0.00418683847797556 0.0527307492947127 -0.107537207973423 0.0991635310174722
"10" "log_chla_mean" -0.0103781106845944 0.0218464827522708 -0.0531964300679206 0.0324402086987319
"11" "depth" -0.0646447173891298 0.0251323311369221 -0.113903181265032 -0.0153862535132279
