"term" "estimate" "std.error" "conf.low" "conf.high"
"1" "(Intercept)" 6.99737738701756 0.176280416950396 6.65187411861508 7.34288065542004
"2" "convFric" -0.0375049519807515 0.0244320500507444 -0.0853908901486905 0.0103809861871875
"3" "convFeve" -0.170029731359076 0.0151778456854211 -0.199777762265408 -0.140281700452744
"4" "Tric" 0.121849767114843 0.0252450072747145 0.0723704620669505 0.171329072162735
"5" "Teve" -0.393235313140312 0.0152972123803994 -0.423217298469754 -0.363253327810869
"6" "sbt_mean" 0.261704580206736 0.0507302472615432 0.162275122647299 0.361134037766172
"7" "sbt_sd" 0.0783631410343582 0.0310154994903125 0.0175738790708254 0.139152402997891
"8" "sst_sd" 0.0598829994743821 0.0283617262302498 0.00429503752370761 0.115470961425057
"9" "sic_mean" -0.0148189038487776 0.0528737853199315 -0.118449618802146 0.0888118111045907
"10" "log_chla_mean" -0.0122759157216501 0.0218443570665186 -0.0550900688374596 0.0305382373941594
"11" "depth" -0.0504551970166475 0.0245577142453337 -0.0985874324801279 -0.00232296155316718
