"term" "estimate" "std.error" "conf.low" "conf.high" "model"
"1" "(Intercept)" 0.007092255022259 0.165251562661536 -0.316794856183315 0.330979366227833 "fishing_Fric"
"2" "sbt_mean" 0.0519948703736772 0.0779767037575187 -0.100836660624209 0.204826401371563 "fishing_Fric"
"3" "sbt_sd" 0.0124300887637318 0.0403961654184036 -0.0667449405698617 0.0916051180973253 "fishing_Fric"
"4" "sst_sd" 0.0342152498428441 0.0343202045189142 -0.0330511149562766 0.101481614641965 "fishing_Fric"
"5" "sic_mean" -0.152905691623341 0.0647747902950766 -0.279861947707826 -0.0259494355388567 "fishing_Fric"
"6" "log_chla_mean" 0.028724622651406 0.0304526501918704 -0.0309614749584567 0.0884107202612686 "fishing_Fric"
"7" "depth" 0.028414926666957 0.0380823381715485 -0.0462250845963529 0.103054937930267 "fishing_Fric"
"8" "log_fishing_effort" 0.0461174713274444 0.0274950016397214 -0.00777174164127927 0.100006684296168 "fishing_Fric"
