"term" "estimate" "std.error" "conf.low" "conf.high" "model"
"1" "(Intercept)" 7.02593604027257 0.187914052999387 6.65763126420482 7.39424081634032 "general_biomass"
"2" "Fric" 0.0602048051401564 0.0194401805986765 0.0221027513137962 0.0983068589665166 "general_biomass"
"3" "Feve" 0.0125702845188642 0.0195735405984367 -0.0257931501040044 0.0509337191417328 "general_biomass"
"4" "Tric" 0.0940494172236169 0.0174634107989918 0.0598217610103651 0.128277073436869 "general_biomass"
"5" "Teve" -0.465382400391523 0.0216006793231809 -0.507718953906557 -0.42304584687649 "general_biomass"
"6" "sbt_mean" 0.27794761221488 0.0522392620466269 0.175560540024541 0.380334684405219 "general_biomass"
"7" "sbt_sd" 0.0879293389320183 0.0320391219386683 0.0251338138359413 0.150724864028095 "general_biomass"
"8" "sst_sd" 0.0526716117319999 0.0291408941074891 -0.00444349119597431 0.109786714659974 "general_biomass"
"9" "sic_mean" 0.000946578728310833 0.0547359909630082 -0.106333992217295 0.108227149673917 "general_biomass"
"10" "log_chla_mean" -0.011701253532297 0.0224379483475076 -0.0556788241803819 0.032276317115788 "general_biomass"
"11" "depth" -0.0293513242376201 0.0258213870354583 -0.0799603128579878 0.0212576643827475 "general_biomass"
