"term" "estimate" "std.error" "conf.low" "conf.high" "model"
"1" "(Intercept)" -0.0591630216170009 0.140404422481709 -0.334350632951297 0.216024589717295 "general_Tdiv"
"2" "sbt_mean" 0.188537286198892 0.0529996809528003 0.0846598203392901 0.292414752058494 "general_Tdiv"
"3" "sbt_sd" -0.0943916719429782 0.0321422579999971 -0.157389340004767 -0.0313940038811894 "general_Tdiv"
"4" "sst_sd" -0.0076742501197891 0.0260473355405738 -0.0587260896725438 0.0433775894329656 "general_Tdiv"
"5" "sic_mean" -0.0409069358719465 0.0482003875682593 -0.135377959546607 0.0535640878027139 "general_Tdiv"
"6" "log_chla_mean" 0.00377250339782852 0.0221997099325141 -0.0397381285371353 0.0472831353327923 "general_Tdiv"
"7" "depth" 0.0171321612183109 0.0263660540146798 -0.0345443550648992 0.068808677501521 "general_Tdiv"
