"term" "estimate" "std.error" "conf.low" "conf.high" "model"
"1" "(Intercept)" -0.00911454875079904 0.173506190259906 -0.349180432754968 0.33095133525337 "fishing_Tdiv"
"2" "sbt_mean" 0.201023340001943 0.0792235871382209 0.0457479624849591 0.356298717518926 "fishing_Tdiv"
"3" "sbt_sd" -0.131467452561986 0.0409779926106811 -0.21178284223767 -0.0511520628863028 "fishing_Tdiv"
"4" "sst_sd" 0.00173176028317165 0.0383281744016031 -0.0733900811371404 0.0768536017034837 "fishing_Tdiv"
"5" "sic_mean" -0.081942523095542 0.0673886369014398 -0.214021824389611 0.0501367781985269 "fishing_Tdiv"
"6" "log_chla_mean" -0.00875934822623092 0.0318903373880541 -0.0712632609616481 0.0537445645091862 "fishing_Tdiv"
"7" "depth" -0.0320597729753997 0.0386063100851365 -0.107726750318253 0.0436072043674534 "fishing_Tdiv"
"8" "log_fishing_effort" 0.0250716896469431 0.0279398186254495 -0.0296893485935193 0.0798327278874054 "fishing_Tdiv"
