"term" "estimate" "std.error" "conf.low" "conf.high" "model"
"1" "(Intercept)" 0.0176496950939313 0.422395155637098 -0.810229597198972 0.845528987386835 "fishing_Tric"
"2" "sbt_mean" 0.305315863661319 0.0766056240236731 0.155171599561703 0.455460127760934 "fishing_Tric"
"3" "sbt_sd" -0.138924181210243 0.0379088405299305 -0.213224143344579 -0.0646242190759072 "fishing_Tric"
"4" "sst_sd" -0.00901143386757444 0.037943116393603 -0.0833785754602475 0.0653557077250987 "fishing_Tric"
"5" "sic_mean" -0.0325785994482024 0.0676288629077448 -0.165128735062779 0.0999715361663742 "fishing_Tric"
"6" "log_chla_mean" -0.0462433199199792 0.0290460292797065 -0.1031724912021 0.0106858513621415 "fishing_Tric"
"7" "depth" -0.100368072570203 0.0347093792091389 -0.168397205745859 -0.0323389393945475 "fishing_Tric"
"8" "log_fishing_effort" 0.0767328004419363 0.024810599996393 0.0281049180141764 0.125360682869696 "fishing_Tric"
