"term" "estimate" "std.error" "conf.low" "conf.high" "model"
"1" "(Intercept)" 0.0575788048650722 0.453979623107228 -0.832204906140162 0.947362515870306 "general_Tric"
"2" "sbt_mean" 0.221424603125226 0.0557715229064038 0.112114426865724 0.330734779384728 "general_Tric"
"3" "sbt_sd" -0.112360995153464 0.0321541278771774 -0.175381927747027 -0.0493400625599013 "general_Tric"
"4" "sst_sd" 0.0038984327622572 0.028907806706269 -0.0527598272540754 0.0605566927785898 "general_Tric"
"5" "sic_mean" -0.0192012023008522 0.0535485961146 -0.12415452210815 0.0857521175064453 "general_Tric"
"6" "log_chla_mean" -0.0273697142812473 0.0217317469862355 -0.0699631556954058 0.0152237271329112 "general_Tric"
"7" "depth" 0.0339741679533345 0.0260423289460869 -0.0170678588545407 0.0850161947612098 "general_Tric"
