"","term","estimate","std.error","conf.low","conf.high","model"
"2...1","log_sum_fishing",-0.0415514709094833,0.0237150998286185,-0.0880322124633475,0.0049292706443809,"fishing_kde_feve"
"3...2","sbt_mean",0.00542823736932277,0.0552215318640731,-0.102803976255392,0.113660450994037,"fishing_kde_feve"
"4...3","sbt_sd",-0.0380652428404014,0.0359454764504414,-0.108517082090399,0.0323865964095963,"fishing_kde_feve"
"5...4","sst_sd",0.073129956223847,0.0321511791947736,0.0101148029415972,0.136145109506097,"fishing_kde_feve"
"6...5","sic_mean",-0.033107179050475,0.0544602387920831,-0.139847285672409,0.0736329275714591,"fishing_kde_feve"
"7...6","log_chla_mean",-0.0107682001085394,0.0297558254670954,-0.0690885463543061,0.0475521461372274,"fishing_kde_feve"
"8...7","depth",0.0297814835991404,0.0341549352869837,-0.0371609594576439,0.0967239266559247,"fishing_kde_feve"
"2...8","log_sum_fishing",-0.0426750489697675,0.0225663510440529,-0.0869042842785991,0.00155418633906411,"fishing_kde_fric"
"3...9","sbt_mean",0.12140587616581,0.063136667744484,-0.00233971871725008,0.245151471048871,"fishing_kde_fric"
"4...10","sbt_sd",0.0162922833744837,0.0346240258626742,-0.051569560316141,0.0841541270651085,"fishing_kde_fric"
"5...11","sst_sd",0.0494229689084616,0.0305712065455137,-0.0104954948846805,0.109341432701604,"fishing_kde_fric"
"6...12","sic_mean",-0.0430039583490306,0.0511296403178312,-0.143216211914467,0.0572082952164056,"fishing_kde_fric"
"7...13","log_chla_mean",-0.00745205604523358,0.0261575803012359,-0.0587199713583704,0.0438158592679032,"fishing_kde_fric"
"8...14","depth",-0.111954813849656,0.0347589250384754,-0.180081055066395,-0.0438285726329167,"fishing_kde_fric"
"2...15","log_sum_fishing",-0.078906565036929,0.0263710768882902,-0.130592925971514,-0.0272202041023436,"fishing_teve"
"3...16","sbt_mean",0.167126209479123,0.0589066815042081,0.0516712352821032,0.282581183676142,"fishing_teve"
"4...17","sbt_sd",0.00890423706489016,0.0374920691243611,-0.0645788681247437,0.082387342254524,"fishing_teve"
"5...18","sst_sd",0.0156868223639471,0.0325295775214339,-0.048069978010367,0.0794436227382612,"fishing_teve"
"6...19","sic_mean",-0.0857020827917629,0.0522034915642136,-0.188019046124862,0.0166148805413364,"fishing_teve"
"7...20","log_chla_mean",-0.0411734604641937,0.0297912576214563,-0.0995632524564023,0.017216331528015,"fishing_teve"
"8...21","depth",0.19083834593109,0.0374320652094038,0.117472846253704,0.264203845608477,"fishing_teve"
"2...22","log_sum_fishing",0.00115880439893248,0.0242352537871039,-0.046341420179979,0.048659028977844,"fishing_tric"
"3...23","sbt_mean",0.307105678976261,0.0861591302898219,0.138236886668916,0.475974471283606,"fishing_tric"
"4...24","sbt_sd",0.0157019073332058,0.0399709116867321,-0.0626396400020202,0.0940434546684319,"fishing_tric"
"5...25","sst_sd",-0.0777141652758913,0.0368128311238746,-0.149865988447641,-0.00556234210414197,"fishing_tric"
"6...26","sic_mean",0.0279325543673368,0.063286740412106,-0.0961071775393266,0.151972286274,"fishing_tric"
"7...27","log_chla_mean",0.00624014554553034,0.0303829714687112,-0.0533093842764517,0.0657896753675123,"fishing_tric"
"8...28","depth",-0.0530205176736648,0.0375073746056202,-0.126533621055333,0.0204925857080031,"fishing_tric"
"2...29","sbt_mean",-0.0567587117095018,0.043667500465634,-0.14234543991703,0.0288280164980268,"general_kde_feve"
"3...30","sbt_sd",-0.0896141563535075,0.0296028255122229,-0.147634628198088,-0.0315936845089273,"general_kde_feve"
"4...31","sst_sd",0.0161734277881956,0.02482717466984,-0.0324869404025759,0.0648337959789672,"general_kde_feve"
"5...32","sic_mean",-0.0554143910271419,0.0430541260219701,-0.139798927416052,0.0289701453617681,"general_kde_feve"
"6...33","log_chla_mean",0.00326324340471192,0.0219075272432121,-0.0396747209823139,0.0462012077917377,"general_kde_feve"
"7...34","depth",-0.044851521519798,0.0255364576406718,-0.0949020587882474,0.00519901574865138,"general_kde_feve"
"2...35","sbt_mean",0.149797776844087,0.0435149974691118,0.0645099490172765,0.235085604670898,"general_kde_fric"
"3...36","sbt_sd",-0.00778214170865016,0.0266954915639901,-0.0601043437236637,0.0445400603063634,"general_kde_fric"
"4...37","sst_sd",0.047362871971474,0.0219105432309893,0.00441899635702705,0.0903067475859209,"general_kde_fric"
"5...38","sic_mean",-0.0336687850285501,0.0374652486978112,-0.107099323148096,0.0397617530909959,"general_kde_fric"
"6...39","log_chla_mean",0.00337400023762135,0.0184599090043518,-0.0328067565687948,0.0395547570440375,"general_kde_fric"
"7...40","depth",-0.123256675500338,0.0238185742629217,-0.169940223218757,-0.0765731277819189,"general_kde_fric"
"2...41","sbt_mean",0.139674342693824,0.042398943258227,0.0565739409251422,0.222774744462507,"general_teve"
"3...42","sbt_sd",-0.0066757110478121,0.0292473546416523,-0.0639994727885209,0.0506480506928967,"general_teve"
"4...43","sst_sd",-0.0113085144991143,0.0250663584871413,-0.0604376743574811,0.0378206453592526,"general_teve"
"5...44","sic_mean",-0.0761213975096268,0.0404968369465863,-0.155493739412727,0.00325094439347323,"general_teve"
"6...45","log_chla_mean",-0.0234834087306826,0.0218698800727995,-0.0663475860195799,0.0193807685582146,"general_teve"
"7...46","depth",0.172181721114369,0.0258059843650029,0.12160292117336,0.222760521055378,"general_teve"
"2...47","sbt_mean",0.26313655645721,0.05915562495826,0.147193662056061,0.379079450858358,"general_tric"
"3...48","sbt_sd",-0.0347546645110661,0.0316288290353587,-0.0967460302935439,0.0272367012714117,"general_tric"
"4...49","sst_sd",-0.0404801003114081,0.0282552309526079,-0.095859335353381,0.0148991347305647,"general_tric"
"5...50","sic_mean",0.0300981567630111,0.0507834424370039,-0.0694355614244795,0.129631874950502,"general_tric"
"6...51","log_chla_mean",0.00633961682747128,0.0225855173934593,-0.0379271838359119,0.0506064174908545,"general_tric"
"7...52","depth",0.0257927254092337,0.0269582853384304,-0.027044542939044,0.0786299937575115,"general_tric"
