"","term","estimate","std.error","conf.low","conf.high","model"
"11...49","depth",-0.103448411739966,0.0438954987186771,-0.189482008311997,-0.0174148151679347,"boreal_biomass"
"2...50","log_sum_fishing",0.0666423920851275,0.0225395640064412,0.0224656584052675,0.110819125764988,"fishing_biomass"
"3...51","kde_fric",0.194524918650903,0.0251472303896742,0.14523725277621,0.243812584525595,"fishing_biomass"
"4...52","kde_feve",-0.225790476483604,0.0226073969043184,-0.27010016020027,-0.181480792766937,"fishing_biomass"
"5...53","tric",0.0169833113376823,0.0238238986383713,-0.0297106719648582,0.0636772946402228,"fishing_biomass"
"6...54","teve",-0.448036337559446,0.0244022921407124,-0.495863951295467,-0.400208723823425,"fishing_biomass"
"7...55","sbt_mean",0.332751832157137,0.0700253160767696,0.195504734640635,0.469998929673639,"fishing_biomass"
"8...56","sic_mean",-0.00478213524676912,0.0581781469159316,-0.118809207889275,0.109244937395737,"fishing_biomass"
"9...57","sbt_sd",0.0483734095563266,0.035795356342438,-0.0217841996886292,0.118531018801282,"fishing_biomass"
"10...58","sst_sd",0.0385143357691075,0.0335602710341423,-0.0272625867692143,0.104291258307429,"fishing_biomass"
"11...59","log_chla_mean",0.0552772211592452,0.0290835644833053,-0.00172551777008152,0.112279960088572,"fishing_biomass"
"12","depth",-0.00759017363138944,0.0353500343129537,-0.0768749677370338,0.0616946204742549,"fishing_biomass"
"2...61","kde_fric",0.200408086182513,0.0176963209452123,0.165723934471035,0.235092237893991,"general_biomass"
"3...62","kde_feve",-0.245863750477555,0.0168241752212143,-0.278838527980727,-0.212888972974384,"general_biomass"
"4...63","tric",0.0436291868303484,0.0172977802228842,0.0097261605810061,0.0775322130796907,"general_biomass"
"5...64","teve",-0.444277874294952,0.0179222697602202,-0.479404877546195,-0.409150871043709,"general_biomass"
"6...65","sbt_mean",0.302005984178313,0.0528591974921668,0.198403860841976,0.40560810751465,"general_biomass"
"7...66","sic_mean",0.0572531387518042,0.0486221824427053,-0.038044587685634,0.152550865189242,"general_biomass"
"8...67","sbt_sd",0.102744254301367,0.0294422626796442,0.0450384798258967,0.160450028776837,"general_biomass"
"9...68","sst_sd",0.0217607490761363,0.0268079468621624,-0.0307818612731655,0.0743033594254382,"general_biomass"
"10...69","log_chla_mean",0.0100402566393487,0.0216260750615478,-0.0323460716082448,0.0524265848869422,"general_biomass"
"11...70","depth",0.0980533361798125,0.0258560138889591,0.0473764801736853,0.14873019218594,"general_biomass"
"2...71","kde_feve",-0.331955020263586,0.0158245459212319,-0.362970560340901,-0.300939480186271,"only_kde_feve_biomass"
"3...72","sbt_mean",0.258986143948251,0.0550014393768377,0.151185303671786,0.366786984224716,"only_kde_feve_biomass"
"4...73","sic_mean",0.0367430081534131,0.0512029086385668,-0.0636128486818727,0.137098864988699,"only_kde_feve_biomass"
"5...74","sbt_sd",0.0930561736510472,0.0316515326278922,0.0310203096448841,0.15509203765721,"only_kde_feve_biomass"
"6...75","sst_sd",0.0491371049832791,0.0287757616187421,-0.00726235141716532,0.105536561383724,"only_kde_feve_biomass"
"7...76","log_chla_mean",0.0237203097083427,0.0233453405168395,-0.0220357169114863,0.0694763363281717,"only_kde_feve_biomass"
"8...77","depth",-0.0229360586450602,0.027156029374719,-0.0761608981826212,0.0302887808925008,"only_kde_feve_biomass"
"2...78","kde_fric",-0.101684666519277,0.0173748356207825,-0.135738718573314,-0.0676306144652394,"only_kde_fric_biomass"
"3...79","sbt_mean",0.31413313525492,0.0571824955787426,0.202057503374464,0.426208767135376,"only_kde_fric_biomass"
"4...80","sic_mean",0.0505091788518174,0.0543147979827183,-0.0559458690218791,0.156964226725514,"only_kde_fric_biomass"
"5...81","sbt_sd",0.12909559955869,0.0335492414531915,0.0633402946017968,0.194850904515584,"only_kde_fric_biomass"
"6...82","sst_sd",0.0562315946709544,0.0310094240393259,-0.00454575962745483,0.117008948969364,"only_kde_fric_biomass"
"7...83","log_chla_mean",0.0334916711473197,0.0250013368207201,-0.0155100485866469,0.0824933908812863,"only_kde_fric_biomass"
"8...84","depth",-0.0413027497778945,0.0287310181420334,-0.0976145105754468,0.0150090110196579,"only_kde_fric_biomass"
"2...85","teve",-0.438068516727356,0.015968989006965,-0.469367160050523,-0.406769873404189,"only_teve_biomass"
"3...86","sbt_mean",0.371972346958218,0.0551337929793139,0.263912098387675,0.480032595528761,"only_teve_biomass"
"4...87","sic_mean",0.0649860640164645,0.051105118141824,-0.0351781269671751,0.165150255000104,"only_teve_biomass"
"5...88","sbt_sd",0.129984823088956,0.0309287726796988,0.0693655425507201,0.190604103627192,"only_teve_biomass"
"6...89","sst_sd",0.0298915056166092,0.0285036571801822,-0.0259746358842243,0.0857576471174428,"only_teve_biomass"
"7...90","log_chla_mean",0.0218357278018357,0.022756164543114,-0.0227655351289352,0.0664369907326066,"only_teve_biomass"
"8...91","depth",0.0655549611658779,0.0268214268740626,0.0129859304787405,0.118123991853015,"only_teve_biomass"
"2...92","tric",0.073188102104525,0.0188332840849848,0.0362755435873434,0.110100660621707,"only_tric_biomass"
"3...93","sbt_mean",0.27835349280526,0.0570537289966941,0.166530238788031,0.390176746822489,"only_tric_biomass"
"4...94","sic_mean",0.0510207160888624,0.0542120374489613,-0.0552329248396383,0.157274357017363,"only_tric_biomass"
"5...95","sbt_sd",0.130109849976185,0.0335479782016654,0.0643570209467859,0.195862679005584,"only_tric_biomass"
"6...96","sst_sd",0.0554172498515385,0.0309134001218006,-0.00517190102686675,0.116006400729944,"only_tric_biomass"
"7...97","log_chla_mean",0.0291883307657918,0.0250379878804481,-0.0198852237252368,0.0782618852568203,"only_tric_biomass"
"8...98","depth",-0.0268564933349682,0.0284885748675346,-0.0826930740462089,0.0289800873762725,"only_tric_biomass"
"2...99","ch_fric",0.120015022381137,0.0159465995041164,0.0887602616771844,0.151269783085089,"other_fd_biomass"
"3...100","ch_feve",-0.15269826644289,0.0147376521648612,-0.181583533902697,-0.123812998983083,"other_fd_biomass"
"4...101","teve",-0.439053610102642,0.0154544987158118,-0.469343870984754,-0.40876334922053,"other_fd_biomass"
"5...102","sbt_mean",0.32648972353646,0.053017500502963,0.222577332000319,0.430402115072602,"other_fd_biomass"
"6...103","sic_mean",0.0757027653384707,0.0483396198761862,-0.0190411486452108,0.170446679322152,"other_fd_biomass"
"7...104","sbt_sd",0.12314121249074,0.0290757807694165,0.0661537293603018,0.180128695621179,"other_fd_biomass"
"8...105","sst_sd",0.0374914253296656,0.02673902948134,-0.0149161094353155,0.0898989600946467,"other_fd_biomass"
"9...106","log_chla_mean",0.0168676353150115,0.0216543451381279,-0.0255741012645191,0.0593093718945421,"other_fd_biomass"
"10...107","depth",0.0201916207821941,0.0253854097910805,-0.0295628681411141,0.0699461097055024,"other_fd_biomass"
"2...108","kde_fric",0.236363609289671,0.0172382226747932,0.202577313689595,0.270149904889747,"pielou_biomass"
"3...109","kde_feve",-0.17927751529598,0.01675233684526,-0.212111492169573,-0.146443538422387,"pielou_biomass"
"4...110","tric",0.0839560311035295,0.0169326975774945,0.0507685536905316,0.117143508516527,"pielou_biomass"
"5...111","p_teve",-0.558101570017525,0.0187562751844306,-0.594863193863131,-0.521339946171919,"pielou_biomass"
"6...112","sbt_mean",0.316334683478809,0.0511688167166136,0.216045645582716,0.416623721374903,"pielou_biomass"
"7...113","sic_mean",0.0482945620914673,0.0473253777447535,-0.044461473843003,0.141050598025938,"pielou_biomass"
"8...114","sbt_sd",0.0989679042692907,0.0285602949025683,0.0429907548724139,0.154945053666167,"pielou_biomass"
"9...115","sst_sd",0.0186684951485333,0.0261058732480378,-0.0324980762025884,0.069835066499655,"pielou_biomass"
"10...116","log_chla_mean",0.00449364349849387,0.0210043994263937,-0.0366742228941315,0.0456615098911192,"pielou_biomass"
"11...117","depth",0.133257725490508,0.0251390460628619,0.083986100601605,0.18252935037941,"pielou_biomass"
"2...118","remove_1_kde_fric",0.113529387677769,0.0294578519721232,0.0557930587504951,0.171265716605042,"remove_1_biomass"
"3...119","remove_1_kde_feve",0.0657194645340749,0.0261044889926229,0.0145556062737118,0.116883322794438,"remove_1_biomass"
"4...120","remove_1_tric",0.144288318657728,0.0262773315243756,0.0927856952601332,0.195790942055323,"remove_1_biomass"
"5...121","remove_1_teve",-0.434844110485501,0.0275267235331884,-0.488795497222941,-0.38089272374806,"remove_1_biomass"
"6...122","sbt_mean",0.251606691930188,0.0774896036918501,0.0997298595178801,0.403483524342496,"remove_1_biomass"
"7...123","sbt_sd",0.0662305603982887,0.0382174655636851,-0.00867429568693379,0.141135416483511,"remove_1_biomass"
"8...124","sst_sd",0.0380973680454655,0.0355890564626737,-0.0316559008651374,0.107850636956068,"remove_1_biomass"
"9...125","log_chla_mean",0.0456145394046763,0.0313086913495419,-0.0157493680435065,0.106978446852859,"remove_1_biomass"
"10...126","depth",0.0864102130465962,0.0387515779463433,0.0104585159276667,0.162361910165526,"remove_1_biomass"
"11...127","log_sum_fishing",0.0714553560592581,0.0243831745954323,0.0236652120234587,0.119245500095057,"remove_1_biomass"
"2...128","kde_fric",0.166380133578382,0.0283295340382899,0.110855267164532,0.221904999992232,"remove_1_samediv_biomass"
"3...129","kde_feve",-0.0632800688925689,0.0253331578475819,-0.112932145888498,-0.0136279918966402,"remove_1_samediv_biomass"
"4...130","tric",0.103360223174216,0.0268780754460285,0.05068016332625,0.156040283022183,"remove_1_samediv_biomass"
"5...131","teve",-0.239419645761284,0.027604761350561,-0.293523983810207,-0.185315307712362,"remove_1_samediv_biomass"
"6...132","sbt_mean",0.231088579364552,0.0847241903159947,0.0650322177258849,0.397144941003218,"remove_1_samediv_biomass"
"7...133","sbt_sd",0.046122477811579,0.0408600948787906,-0.0339618365557401,0.126206792178898,"remove_1_samediv_biomass"
"8...134","sst_sd",0.0258641942584629,0.0380008291509658,-0.0486160622600899,0.100344450777016,"remove_1_samediv_biomass"
"9...135","log_chla_mean",0.0415877068772749,0.0331395826793575,-0.0233646816369533,0.106540095391503,"remove_1_samediv_biomass"
"10...136","depth",0.0634134903133743,0.0401662728230599,-0.015310957813033,0.142137938439782,"remove_1_samediv_biomass"
"11...137","log_sum_fishing",0.0897824141116315,0.0258071582403537,0.0392013134172122,0.140363514806051,"remove_1_samediv_biomass"
"2...138","remove_10_kde_fric",-0.28130075752203,0.0349643255127425,-0.34982957627074,-0.21277193877332,"remove_10_biomass"
"3...139","remove_10_kde_feve",-0.129207607156662,0.0335544235930791,-0.194973068921098,-0.0634421453922255,"remove_10_biomass"
"4...140","remove_10_tric",0.601021866186957,0.036616808355581,0.529254240581213,0.672789491792701,"remove_10_biomass"
"5...141","remove_10_teve",-0.437670130808887,0.0344856779921651,-0.505260817655976,-0.370079443961798,"remove_10_biomass"
"6...142","sbt_mean",0.336357214052028,0.0898636304300635,0.160227734889086,0.51248669321497,"remove_10_biomass"
"7...143","sbt_sd",0.00167101307257577,0.048737549897078,-0.0938528294204209,0.0971948555655725,"remove_10_biomass"
"8...144","sst_sd",0.0473484973491323,0.0436595714035107,-0.0382226901822035,0.132919684880468,"remove_10_biomass"
"9...145","log_chla_mean",0.0908855430465271,0.0386981553516248,0.0150385522892064,0.166732533803848,"remove_10_biomass"
