"term" "estimate" "std.error" "conf.low" "conf.high" "model"
"1" "(Intercept)" -0.0110487539954978 0.172438569348077 -0.34902213946334 0.326924631472345 "fishing_Feve"
"2" "sbt_mean" 0.0740887967474549 0.0744356539199135 -0.0718024041012633 0.219979997596173 "fishing_Feve"
"3" "sbt_sd" -0.0219274154288805 0.0406004567487838 -0.101502848412373 0.0576480175546119 "fishing_Feve"
"4" "sst_sd" 0.0409143524605004 0.0369552359689702 -0.0315165790788603 0.113345283999861 "fishing_Feve"
"5" "sic_mean" -0.162730082343407 0.0638570728582581 -0.287887645303743 -0.0375725193830706 "fishing_Feve"
"6" "log_chla_mean" -0.011640164216364 0.0307272975615672 -0.071864560779281 0.048584232346553 "fishing_Feve"
"7" "depth" -0.206259681164673 0.0380899084011703 -0.280914529805396 -0.131604832523949 "fishing_Feve"
"8" "log_fishing_effort" -0.00836124320049793 0.0276327438935792 -0.0625204260259323 0.0457979396249365 "fishing_Feve"
