"term" "estimate" "std.error" "conf.low" "conf.high" "model"
"1" "(Intercept)" -0.00602451930006929 0.215080488810378 -0.42757453114568 0.415525492545541 "fishing_Fdis"
"2" "sbt_mean" 0.0475861650487935 0.0762760032566494 -0.101912054218899 0.197084384316486 "fishing_Fdis"
"3" "sbt_sd" 0.0184831697324109 0.0388628681867294 -0.0576866522495061 0.0946529917143279 "fishing_Fdis"
"4" "sst_sd" 0.0272303879738566 0.0337797729062327 -0.0389767503283015 0.0934375262760147 "fishing_Fdis"
"5" "sic_mean" -0.144481219972303 0.0647290658966119 -0.271347857882582 -0.0176145820620237 "fishing_Fdis"
"6" "log_chla_mean" 0.0400992115787379 0.029224679115342 -0.0171801069470723 0.0973785301045481 "fishing_Fdis"
"7" "depth" -0.0315686055402714 0.0362052977379288 -0.102529685156161 0.0393924740756185 "fishing_Fdis"
"8" "log_fishing_effort" 0.0404153608399764 0.0261759366221455 -0.0108885322010319 0.0917192538809847 "fishing_Fdis"
