"term" "estimate" "std.error" "conf.low" "conf.high" "model"
"1" "(Intercept)" 6.96956888516594 0.316555420021723 6.34913166281241 7.59000610751947 "arctic_biomass"
"2" "Fric" 0.158761309965177 0.0525095865533009 0.055844411477619 0.261678208452736 "arctic_biomass"
"3" "Tric" 0.00934099846589506 0.0460829666657819 -0.0809799564997973 0.0996619534315874 "arctic_biomass"
"4" "Teve" -0.585091164147973 0.0484607768694007 -0.68007254147483 -0.490109786821116 "arctic_biomass"
"5" "sbt_mean" 0.164707483137141 0.0663593097033154 0.0346456260797038 0.294769340194579 "arctic_biomass"
"6" "sbt_sd" 0.288484928578331 0.080083078660287 0.131524978633081 0.445444878523582 "arctic_biomass"
"7" "sst_sd" 0.0680150487169524 0.0723003165552022 -0.0736909678020889 0.209721065235994 "arctic_biomass"
"8" "sic_mean" 0.0117799611623468 0.0715451022546309 -0.128445862526965 0.152005784851659 "arctic_biomass"
"9" "log_chla_mean" -0.00715329749270153 0.0468781868993374 -0.0990328554759402 0.0847262604905372 "arctic_biomass"
"10" "depth" 0.249828566360525 0.0517026816742824 0.148493172374793 0.351163960346258 "arctic_biomass"
